Window size: 1000, batch size: 10, learning rate: 2e-05, epochs: 600
Input dimension: 270, hidden dimension: 300, layer dimension: 1, output dimension: 5

Model loss after 1 epochs = 1.605109453201294, accuracy = 0.22500000894069672
Model loss after 2 epochs = 1.599414587020874, accuracy = 0.3083333373069763
Model loss after 3 epochs = 1.597008466720581, accuracy = 0.28333336114883423
Model loss after 4 epochs = 1.5927891731262207, accuracy = 0.3500000238418579
Model loss after 5 epochs = 1.5896247625350952, accuracy = 0.32500001788139343
Model loss after 6 epochs = 1.5876688957214355, accuracy = 0.3333333432674408
Model loss after 7 epochs = 1.5882470607757568, accuracy = 0.31666669249534607
Model loss after 8 epochs = 1.5829190015792847, accuracy = 0.34166669845581055
Model loss after 9 epochs = 1.5805869102478027, accuracy = 0.36666667461395264
Model loss after 10 epochs = 1.578403115272522, accuracy = 0.3916666805744171
Model loss after 11 epochs = 1.580345630645752, accuracy = 0.3750000298023224
Model loss after 12 epochs = 1.5790256261825562, accuracy = 0.3916666805744171
Model loss after 13 epochs = 1.5766111612319946, accuracy = 0.40833336114883423
Model loss after 14 epochs = 1.57222580909729, accuracy = 0.38333335518836975
Model loss after 15 epochs = 1.569884181022644, accuracy = 0.3916666805744171
Model loss after 16 epochs = 1.5681242942810059, accuracy = 0.40833336114883423
Model loss after 17 epochs = 1.565731167793274, accuracy = 0.4166666865348816
Model loss after 18 epochs = 1.5632290840148926, accuracy = 0.3916666805744171
Model loss after 19 epochs = 1.5603481531143188, accuracy = 0.40833336114883423
Model loss after 20 epochs = 1.5598524808883667, accuracy = 0.3916666805744171
Model loss after 21 epochs = 1.558423399925232, accuracy = 0.40000003576278687
Model loss after 22 epochs = 1.556768774986267, accuracy = 0.3916666805744171
Model loss after 23 epochs = 1.553697109222412, accuracy = 0.40833336114883423
Model loss after 24 epochs = 1.5507076978683472, accuracy = 0.3916666805744171
Model loss after 25 epochs = 1.5465312004089355, accuracy = 0.4333333671092987
Model loss after 26 epochs = 1.5447704792022705, accuracy = 0.40833336114883423
Model loss after 27 epochs = 1.5444872379302979, accuracy = 0.40833336114883423
Model loss after 28 epochs = 1.5431816577911377, accuracy = 0.40833336114883423
Model loss after 29 epochs = 1.5425496101379395, accuracy = 0.4333333671092987
Model loss after 30 epochs = 1.5418064594268799, accuracy = 0.40833336114883423
Model loss after 31 epochs = 1.5399938821792603, accuracy = 0.3916666805744171
Model loss after 32 epochs = 1.5370885133743286, accuracy = 0.40000003576278687
Model loss after 33 epochs = 1.5336779356002808, accuracy = 0.4166666865348816
Model loss after 34 epochs = 1.5324490070343018, accuracy = 0.40833336114883423
Model loss after 35 epochs = 1.5297609567642212, accuracy = 0.40833336114883423
Model loss after 36 epochs = 1.5298504829406738, accuracy = 0.40833336114883423
Model loss after 37 epochs = 1.527889370918274, accuracy = 0.42500001192092896
Model loss after 38 epochs = 1.5261890888214111, accuracy = 0.4166666865348816
Model loss after 39 epochs = 1.5222938060760498, accuracy = 0.42500001192092896
Model loss after 40 epochs = 1.5233489274978638, accuracy = 0.40833336114883423
Model loss after 41 epochs = 1.5181736946105957, accuracy = 0.4166666865348816
Model loss after 42 epochs = 1.5185643434524536, accuracy = 0.4166666865348816
Model loss after 43 epochs = 1.5120940208435059, accuracy = 0.4333333671092987
Model loss after 44 epochs = 1.5115129947662354, accuracy = 0.4333333671092987
Model loss after 45 epochs = 1.5096697807312012, accuracy = 0.45000001788139343
Model loss after 46 epochs = 1.5060901641845703, accuracy = 0.4333333671092987
Model loss after 47 epochs = 1.5031638145446777, accuracy = 0.4750000238418579
Model loss after 48 epochs = 1.503301739692688, accuracy = 0.46666669845581055
Model loss after 49 epochs = 1.504761815071106, accuracy = 0.491666704416275
Model loss after 50 epochs = 1.5040642023086548, accuracy = 0.46666669845581055
Model loss after 51 epochs = 1.5016556978225708, accuracy = 0.4833333492279053
Model loss after 52 epochs = 1.5005810260772705, accuracy = 0.46666669845581055
Model loss after 53 epochs = 1.4982415437698364, accuracy = 0.4833333492279053
Model loss after 54 epochs = 1.497624158859253, accuracy = 0.46666669845581055
Model loss after 55 epochs = 1.4928058385849, accuracy = 0.4833333492279053
Model loss after 56 epochs = 1.4917395114898682, accuracy = 0.46666669845581055
Model loss after 57 epochs = 1.4866694211959839, accuracy = 0.46666669845581055
Model loss after 58 epochs = 1.484998345375061, accuracy = 0.46666669845581055
Model loss after 59 epochs = 1.4830870628356934, accuracy = 0.4833333492279053
Model loss after 60 epochs = 1.4869564771652222, accuracy = 0.46666669845581055
Model loss after 61 epochs = 1.4818263053894043, accuracy = 0.4833333492279053
Model loss after 62 epochs = 1.4816378355026245, accuracy = 0.46666669845581055
Model loss after 63 epochs = 1.4786607027053833, accuracy = 0.491666704416275
Model loss after 64 epochs = 1.4763362407684326, accuracy = 0.491666704416275
Model loss after 65 epochs = 1.4762367010116577, accuracy = 0.4750000238418579
Model loss after 66 epochs = 1.4728178977966309, accuracy = 0.5250000357627869
Model loss after 67 epochs = 1.4722707271575928, accuracy = 0.5
Model loss after 68 epochs = 1.4707627296447754, accuracy = 0.5
Model loss after 69 epochs = 1.4696087837219238, accuracy = 0.5
Model loss after 70 epochs = 1.4716129302978516, accuracy = 0.5083333849906921
Model loss after 71 epochs = 1.4675089120864868, accuracy = 0.5333333611488342
Model loss after 72 epochs = 1.4610726833343506, accuracy = 0.5333333611488342
Model loss after 73 epochs = 1.4582476615905762, accuracy = 0.5333333611488342
Model loss after 74 epochs = 1.457314133644104, accuracy = 0.5416666865348816
Model loss after 75 epochs = 1.4505047798156738, accuracy = 0.5250000357627869
Model loss after 76 epochs = 1.4565504789352417, accuracy = 0.5166667103767395
Model loss after 77 epochs = 1.4504207372665405, accuracy = 0.550000011920929
Model loss after 78 epochs = 1.4525121450424194, accuracy = 0.5333333611488342
Model loss after 79 epochs = 1.4538898468017578, accuracy = 0.5250000357627869
Model loss after 80 epochs = 1.4482841491699219, accuracy = 0.5250000357627869
Model loss after 81 epochs = 1.4501584768295288, accuracy = 0.5166667103767395
Model loss after 82 epochs = 1.4470006227493286, accuracy = 0.5166667103767395
