Window size: 1000, batch size: 10, learning rate: 1e-05, epochs: 1000
Input dimension: 270, hidden dimension: 400, layer dimension: 1, output dimension: 5

Model loss after 1 epochs = 1.5987892150878906, accuracy = 0.30000001192092896
Model loss after 2 epochs = 1.5913596153259277, accuracy = 0.32500001788139343
Model loss after 3 epochs = 1.5870163440704346, accuracy = 0.3583333492279053
Model loss after 4 epochs = 1.581045150756836, accuracy = 0.3750000298023224
Model loss after 5 epochs = 1.5754914283752441, accuracy = 0.4166666865348816
Model loss after 6 epochs = 1.5691733360290527, accuracy = 0.40833336114883423
Model loss after 7 epochs = 1.5652287006378174, accuracy = 0.40000003576278687
Model loss after 8 epochs = 1.5613113641738892, accuracy = 0.38333335518836975
Model loss after 9 epochs = 1.5569941997528076, accuracy = 0.40833336114883423
Model loss after 10 epochs = 1.5517634153366089, accuracy = 0.42500001192092896
Model loss after 11 epochs = 1.5492628812789917, accuracy = 0.42500001192092896
Model loss after 12 epochs = 1.5453089475631714, accuracy = 0.4333333671092987
Model loss after 13 epochs = 1.5415074825286865, accuracy = 0.4166666865348816
Model loss after 14 epochs = 1.5393719673156738, accuracy = 0.4333333671092987
Model loss after 15 epochs = 1.5353901386260986, accuracy = 0.42500001192092896
Model loss after 16 epochs = 1.533206820487976, accuracy = 0.44166669249534607
Model loss after 17 epochs = 1.529033899307251, accuracy = 0.45000001788139343
Model loss after 18 epochs = 1.5264562368392944, accuracy = 0.42500001192092896
Model loss after 19 epochs = 1.5245063304901123, accuracy = 0.44166669249534607
Model loss after 20 epochs = 1.5210329294204712, accuracy = 0.44166669249534607
Model loss after 21 epochs = 1.519086241722107, accuracy = 0.45000001788139343
Model loss after 22 epochs = 1.5160658359527588, accuracy = 0.4583333432674408
Model loss after 23 epochs = 1.5141472816467285, accuracy = 0.45000001788139343
Model loss after 24 epochs = 1.5098263025283813, accuracy = 0.45000001788139343
Model loss after 25 epochs = 1.5083897113800049, accuracy = 0.4583333432674408
Model loss after 26 epochs = 1.5050946474075317, accuracy = 0.44166669249534607
Model loss after 27 epochs = 1.5042089223861694, accuracy = 0.45000001788139343
Model loss after 28 epochs = 1.5038275718688965, accuracy = 0.45000001788139343
Model loss after 29 epochs = 1.5010857582092285, accuracy = 0.46666669845581055
Model loss after 30 epochs = 1.4970353841781616, accuracy = 0.4583333432674408
Model loss after 31 epochs = 1.4953802824020386, accuracy = 0.4750000238418579
Model loss after 32 epochs = 1.4951443672180176, accuracy = 0.46666669845581055
Model loss after 33 epochs = 1.4923418760299683, accuracy = 0.4833333492279053
Model loss after 34 epochs = 1.4899942874908447, accuracy = 0.4750000238418579
Model loss after 35 epochs = 1.4871903657913208, accuracy = 0.46666669845581055
Model loss after 36 epochs = 1.4854578971862793, accuracy = 0.4583333432674408
Model loss after 37 epochs = 1.4848359823226929, accuracy = 0.46666669845581055
Model loss after 38 epochs = 1.4842451810836792, accuracy = 0.46666669845581055
Model loss after 39 epochs = 1.4801135063171387, accuracy = 0.491666704416275
Model loss after 40 epochs = 1.4788601398468018, accuracy = 0.5
Model loss after 41 epochs = 1.478407621383667, accuracy = 0.5083333849906921
Model loss after 42 epochs = 1.477340817451477, accuracy = 0.5083333849906921
Model loss after 43 epochs = 1.4741382598876953, accuracy = 0.5250000357627869
Model loss after 44 epochs = 1.471766710281372, accuracy = 0.5416666865348816
Model loss after 45 epochs = 1.4711036682128906, accuracy = 0.5333333611488342
Model loss after 46 epochs = 1.4666099548339844, accuracy = 0.550000011920929
Model loss after 47 epochs = 1.4642337560653687, accuracy = 0.5416666865348816
Model loss after 48 epochs = 1.4631848335266113, accuracy = 0.5416666865348816
Model loss after 49 epochs = 1.4604287147521973, accuracy = 0.5333333611488342
Model loss after 50 epochs = 1.4604588747024536, accuracy = 0.5250000357627869
Model loss after 51 epochs = 1.4557318687438965, accuracy = 0.5666667222976685
Model loss after 52 epochs = 1.4570960998535156, accuracy = 0.5416666865348816
Model loss after 53 epochs = 1.454318881034851, accuracy = 0.5666667222976685
Model loss after 54 epochs = 1.4527039527893066, accuracy = 0.550000011920929
Model loss after 55 epochs = 1.4503239393234253, accuracy = 0.550000011920929
Model loss after 56 epochs = 1.4479650259017944, accuracy = 0.5416666865348816
Model loss after 57 epochs = 1.4468616247177124, accuracy = 0.5333333611488342
Model loss after 58 epochs = 1.443674921989441, accuracy = 0.5416666865348816
Model loss after 59 epochs = 1.4416873455047607, accuracy = 0.5583333373069763
Model loss after 60 epochs = 1.4415009021759033, accuracy = 0.5416666865348816
Model loss after 61 epochs = 1.438646674156189, accuracy = 0.550000011920929
Model loss after 62 epochs = 1.437233805656433, accuracy = 0.550000011920929
Model loss after 63 epochs = 1.4358173608779907, accuracy = 0.550000011920929
Model loss after 64 epochs = 1.4331773519515991, accuracy = 0.5666667222976685
Model loss after 65 epochs = 1.4315199851989746, accuracy = 0.5666667222976685
Model loss after 66 epochs = 1.4301667213439941, accuracy = 0.5583333373069763
Model loss after 67 epochs = 1.427012324333191, accuracy = 0.5666667222976685
Model loss after 68 epochs = 1.4264296293258667, accuracy = 0.550000011920929
Model loss after 69 epochs = 1.4239343404769897, accuracy = 0.5666667222976685
Model loss after 70 epochs = 1.4243758916854858, accuracy = 0.5750000476837158
Model loss after 71 epochs = 1.4210262298583984, accuracy = 0.5833333730697632
Model loss after 72 epochs = 1.4231528043746948, accuracy = 0.5750000476837158
